observer,age,luminance,s_frequency,col_dir_id,bkg_id,ge_sigma,area,log_cone_contrast,dataset,ge_lambda,stim_id,t_frequency,orientation,eccentricity,vis_field,var_log_cone_contrast,stimulus,L,M,S,bkg_label,R,L_delta,M_delta,S_delta,R_delta,col_dir_label,sensitivity,L_delta_norm,M_delta_norm,S_delta_norm
obs_63,NaN,50,1,1,1,2.18363559829861,14.9799444915882,-2.31147540983607,rovamo1993,2.18363559829861,-1,0,0,0,180,0,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.179321106253891,0.0771915426765399,0.00508131505214106,NaN,NA,204.868604813362,0.918203011274591,0.395254682570263,0.0260185701481506
obs_63,NaN,50,1,1,1,4.37744786138333,60.1993548138352,-2.60655737704918,rovamo1993,4.37744786138333,-1,0,0,0,180,0,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.0908969774733747,0.0391280093145881,0.00257569334407095,NaN,NA,404.16376730001,0.918203011274591,0.395254682570263,0.0260185701481506
obs_63,NaN,50,1,1,1,8.77529647989799,241.920944502639,-2.73770491803279,rovamo1993,8.77529647989799,-1,0,0,0,180,0,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.0672050488673146,0.0289294523444181,0.00190434931795404,NaN,NA,546.644418403073,0.918203011274591,0.395254682570263,0.0260185701481506
obs_63,NaN,50,1,1,1,17.2639173970251,936.329208823939,-2.77049180327869,rovamo1993,17.2639173970251,-1,0,0,0,180,0,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.0623182165446252,0.0268258398156403,0.00176587407007433,NaN,NA,589.510850740029,0.918203011274591,0.395254682570263,0.0260185701481506
obs_63,NaN,50,2,1,1,0.275390943410654,0.238258926299324,-1.86885245901639,rovamo1993,0.550781886821307,-1,0,0,0,180,0,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.496883253855302,0.213891078950431,0.0140798839005433,NaN,NA,73.9354054836423,0.918203011274591,0.395254682570263,0.0260185701481506
obs_63,NaN,50,2,1,1,0.553641124845763,0.962956252459903,-2.04918032786885,rovamo1993,1.10728224969153,-1,0,0,0,180,0,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.328039764455568,0.141209788443543,0.00929546681732406,NaN,NA,111.990279327247,0.918203011274591,0.395254682570263,0.0260185701481506
obs_63,NaN,50,2,1,1,1.09222046469117,3.74774895556145,-2.32786885245902,rovamo1993,2.18444092938233,-1,0,0,0,180,0,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.172678380465211,0.0743320786573997,0.00489308410017786,NaN,NA,212.749649104015,0.918203011274591,0.395254682570263,0.0260185701481506
obs_63,NaN,50,2,1,1,2.15472711464946,14.5859401172504,-2.50819672131148,rovamo1993,4.30945422929891,-1,0,0,0,180,0,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.114001377214601,0.0490736554010874,0.00323038891576543,NaN,NA,322.252816145084,0.918203011274591,0.395254682570263,0.0260185701481506
obs_63,NaN,50,2,1,1,4.33182561748702,58.9510850740029,-2.67213114754098,rovamo1993,8.66365123497404,-1,0,0,0,180,0,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.0781584020626668,0.0336444925775133,0.00221472794334663,NaN,NA,470.03602789074,0.918203011274591,0.395254682570263,0.0260185701481506
obs_63,NaN,50,2,1,1,8.87455070549337,247.424455358884,-2.78688524590164,rovamo1993,17.7491014109867,-1,0,0,0,180,0,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.060009716263797,0.0258321101779587,0.0017004594768349,NaN,NA,612.188611096406,0.918203011274591,0.395254682570263,0.0260185701481506
