luminance,s_frequency,col_dir_id,bkg_id,ge_sigma,area,N,log_cone_contrast,dataset,ge_lambda,stim_id,t_frequency,orientation,eccentricity,vis_field,var_log_cone_contrast,stimulus,L,M,S,bkg_label,R,L_delta,M_delta,S_delta,R_delta,col_dir_label,sensitivity,L_delta_norm,M_delta_norm,S_delta_norm
20,11.3137084989848,93,64,1.25,6.25,1,-1.8906473859035,robson1966,14.1421356237309,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.179606416914143,0.0776597108337456,0.00531418162060818,NaN,NA,77.7405100900001,0.917533494872012,0.396730735551049,0.02714791441484
20,16,93,64,1.25,6.25,1,-1.59170979281881,robson1966,20,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.357486332174246,0.154572902575855,0.0105772796356554,NaN,NA,39.05798127,0.917533494872012,0.396730735551049,0.02714791441484
20,22.6274169979695,93,64,1.25,6.25,1,-1.28967834959303,robson1966,28.2842712474619,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.716623235156453,0.309859492634926,0.0212033962405121,NaN,NA,19.48401026,0.917533494872012,0.396730735551049,0.02714791441484
20,29.8570557291778,93,64,1.25,6.25,1,-0.641665631003248,robson1966,37.3213196614723,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,3.18642428854728,1.37777253782918,0.0942796904508819,NaN,NA,4.381931972,0.917533494872012,0.396730735551049,0.02714791441484
20,0.5,93,64,1.25,6.25,1,-2.25681186970727,robson1966,0.625,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0772960613999462,0.033421911533243,0.00228703025144893,NaN,NA,180.639145300002,0.917533494872012,0.396730735551049,0.02714791441484
20,0.707106781186547,93,64,1.25,6.25,1,-2.24364912704199,robson1966,0.883883476483184,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0796746396228724,0.0344503808950933,0.00235740745117613,NaN,NA,175.246408800002,0.917533494872012,0.396730735551049,0.02714791441484
20,1,93,64,1.25,6.25,1,-2.31299578460956,robson1966,1.25,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0679162112045687,0.0293661741806902,0.00200949992503437,NaN,NA,205.587064099999,0.917533494872012,0.396730735551049,0.02714791441484
20,1.4142135623731,93,64,1.25,6.25,1,-2.32522986761387,robson1966,1.76776695296637,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0660297065554957,0.028550471668215,0.00195368216247587,NaN,NA,211.460798399998,0.917533494872012,0.396730735551049,0.02714791441484
20,2,93,64,1.25,6.25,1,-2.28664001715782,robson1966,2.5,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0721654323179409,0.0312034876163838,0.00213522557075769,NaN,NA,193.481754599999,0.917533494872012,0.396730735551049,0.02714791441484
20,2.82842712474619,93,64,1.25,6.25,1,-2.26077886200452,robson1966,3.53553390593274,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0765932279467433,0.0331180145807967,0.00226623486627545,NaN,NA,182.296723100001,0.917533494872012,0.396730735551049,0.02714791441484
