col_dir_id,L_delta,M_delta,S_delta,dataset,R_delta,col_dir_label
27,0.0287404632585933,-5.22162295020223e-05,-0.0364680469788807,five_centres,-1.23031971523025,NA
28,-0.0287474563963244,0.0275975556364365,-0.0152503880964103,five_centres,-0.280256389670143,NA
29,-0.0471669488035928,0.0348437827212926,-0.00542319028998373,five_centres,0.112620186403433,NA
30,-0.0655657558480414,0.0434335239911832,0.0018547074722135,five_centres,0.430916753178451,NA
31,-0.0575357024951515,0.034547980226602,0.00832432202169953,five_centres,0.573743262714999,NA
32,-0.0455463671674821,0.0230441281358509,0.0146735109745213,five_centres,0.690302124394066,NA
33,-0.0290271266877866,6.68157078429488e-05,0.0368053486646969,five_centres,1.24181896104423,NA
34,0.0288480920479159,-0.0276995199501506,0.0153138292750341,five_centres,0.281531152662097,NA
35,0.0472441637840859,-0.0349009160665261,0.00543224129531961,five_centres,-0.112799500920715,NA
41,0.918203011274591,0.395254682570263,0.0260185701481506,modelfest,NaN,NA
42,0.775251350724802,-0.625170427902089,-0.0902622804724563,lucassen2018,NaN,C1
43,0.524302510311356,-0.729292494589454,-0.439589962370276,lucassen2018,NaN,C2
44,-0.873719533977089,0.408913750408408,-0.263445859094024,lucassen2018,NaN,C3
45,-0.82712810086249,0.56094142816879,-0.0346960938373364,lucassen2018,NaN,C4
46,0.722197840610438,-0.665873146625037,-0.187198375049819,lucassen2018,NaN,C5
47,-0.378668338613562,-0.404382448614672,-0.832517341911895,lucassen2018,NaN,C6
48,-0.855728483857749,0.499203747301046,-0.136104300428425,lucassen2018,NaN,C7
49,-0.804497529434781,0.593416124575069,0.0253185352585826,lucassen2018,NaN,C8
50,0.621563823385178,-0.71023127634439,-0.330499542452056,lucassen2018,NaN,C9
51,-0.857396434277666,0.243475451647284,-0.453421502504122,lucassen2018,NaN,C10
52,-0.835395169113169,0.546368906747398,-0.0599660667547215,lucassen2018,NaN,C11
53,-0.777502687384753,0.623022623959255,0.0856293240917638,lucassen2018,NaN,C12
54,0.918203011274591,0.395254682570263,0.0260185701481506,laird2006,NaN,NA
55,-0.804424342027078,0.593507733037564,0.0254960541832283,kong2018,NaN,uv_0
56,-0.725049377023093,0.664082154035678,0.182478200258989,kong2018,NaN,uv_45
57,-0.263477671053208,0.713384520102785,0.649355098027341,kong2018,NaN,uv_90
58,0.868125815408231,-0.451751116895827,0.205617355797526,kong2018,NaN,uv_135
