bkg_id,L,M,S,bkg_label,dataset,R
106,4.56573726870895,2.00317545071021,0.0214392857951233,Y,vanderHorst1969_b,NaN
107,8.30640457808382,3.42754804857583,0.219433651933796,E,vanderHorst1969_b,NaN
108,10.9577694411721,4.80762108006829,0.0514542858907841,Y,vanderHorst1969_b,NaN
109,17.7994383730873,7.3447458148607,0.470214968204462,E,vanderHorst1969_b,NaN
110,37.9721352023812,15.6687910743692,1.00312526567355,E,vanderHorst1969_b,NaN
111,50.2231099536469,22.0349299568684,0.235832143736254,Y,vanderHorst1969_b,NaN
112,0.0137372382067036,0.00626276179329636,0.000477574242276299,d65,hdr_csf_disc,NaN
113,0.137372382067036,0.0626276179329636,0.00477574242276299,d65,hdr_csf_disc,NaN
114,1.37372382067036,0.626276179329636,0.0477574242276299,d65,hdr_csf_disc,NaN
115,13.7372382067036,6.26276179329636,0.477574242276299,d65,hdr_csf_disc,NaN
116,137.372382067036,62.6276179329636,4.77574242276299,d65,hdr_csf_disc,NaN
121,68.6861910348092,31.3138089651908,2.38787121229485,d65,hansen2009,NaN
