observer,age,luminance,s_frequency,col_dir_id,bkg_id,ge_sigma,area,log_cone_contrast,dataset,ge_lambda,stim_id,t_frequency,orientation,eccentricity,vis_field,var_log_cone_contrast,stimulus,sensitivity
obs_5,23,0.2,0.5,11,4,1,3.14159265358979,-0.645994417,hdr_csf,0.5,-1,0,0,0,180,0.00612609138902255,gabor,4.42582682778477
obs_5,23,0.2,1,9,4,0.5,0.785398163397448,-1.021468883,hdr_csf,0.5,-1,0,0,0,180,0.00726678483202926,gabor,10.5067617170383
obs_5,23,0.2,1,10,4,0.5,0.785398163397448,-1.403016892,hdr_csf,0.5,-1,0,0,0,180,0.00786359548918252,gabor,25.2939637608127
obs_5,23,0.2,1,11,4,0.5,0.785398163397448,-0.415895461,hdr_csf,0.5,-1,0,0,0,180,0.0154088501964458,gabor,2.60552629842221
obs_5,23,0.2,2,9,4,0.25,0.196349540849362,-0.985369084,hdr_csf,0.5,-1,0,0,0,180,0.0113918949522812,gabor,9.66872223696252
obs_5,23,0.2,4,9,4,0.125,0.0490873852123405,-0.192219431,hdr_csf,0.5,-1,0,0,0,180,0.0100594473738343,gabor,1.55675199518497
obs_5,23,20,1,9,6,1,3.14159265358979,-1.80745302,hdr_csf,1,-1,0,0,0,180,0.010421149097707,gabor,64.1878782227674
obs_5,23,20,1,10,6,1,3.14159265358979,-2.485283661,hdr_csf,1,-1,0,0,0,180,0.0083941838254776,gabor,305.691709767922
obs_5,23,20,1,11,6,1,3.14159265358979,-1.647393346,hdr_csf,1,-1,0,0,0,180,0.00738352350698428,gabor,44.4010607890115
obs_5,23,20,2,9,6,0.5,0.785398163397448,-1.99046736,hdr_csf,1,-1,0,0,0,180,0.0109640422077244,gabor,97.828942733216
obs_5,23,20,2,10,6,0.5,0.785398163397448,-2.23598533,hdr_csf,1,-1,0,0,0,180,0.00689541697015593,gabor,172.181041310178
obs_5,23,20,2,11,6,0.5,0.785398163397448,-1.446011458,hdr_csf,1,-1,0,0,0,180,0.0103963047948737,gabor,27.9261751794924
obs_5,23,20,4,9,6,0.25,0.196349540849362,-1.670923485,hdr_csf,1,-1,0,0,0,180,0.0133459855449281,gabor,46.8730792801687
obs_5,23,20,4,10,6,0.25,0.196349540849362,-1.742928201,hdr_csf,1,-1,0,0,0,180,0.00736716883402098,gabor,55.3258635107311
obs_5,23,20,4,11,6,0.25,0.196349540849362,-1.470899577,hdr_csf,1,-1,0,0,0,180,0.0086648908382941,gabor,29.5732855699972
obs_5,23,20,6,9,6,0.166666666666667,0.0872664625997165,-1.215714115,hdr_csf,1,-1,0,0,0,180,0.00641474235751773,gabor,16.4328963137221
obs_5,23,20,6,10,6,0.166666666666667,0.0872664625997165,-1.635138271,hdr_csf,1,-1,0,0,0,180,0.00667839880906156,gabor,43.1656486065301
obs_5,23,20,6,11,6,0.166666666666667,0.0872664625997165,-1.202641391,hdr_csf,1,-1,0,0,0,180,0.00839191545432919,gabor,15.9456192946545
obs_5,23,20,2,9,6,1,3.14159265358979,-2.075020844,hdr_csf,2,-1,0,0,0,180,0.00452700943520806,gabor,118.855927106977
obs_5,23,20,2,10,6,1,3.14159265358979,-2.370814688,hdr_csf,2,-1,0,0,0,180,0.0138746713626931,gabor,234.863045426629
obs_5,23,20,2,11,6,1,3.14159265358979,-1.640345805,hdr_csf,2,-1,0,0,0,180,0.011629614485701,gabor,43.6863544393975
obs_5,23,20,4,9,6,0.5,0.785398163397448,-1.881528414,hdr_csf,2,-1,0,0,0,180,0.00647561657495781,gabor,76.1251942781805
